#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
2.33880E+01                                                        1.3927837090515500E-02
2.34480E+01                                                        1.4225867789745400E-02
2.35080E+01                                                        1.4529384071334100E-02
2.35680E+01                                                        1.4838469760579800E-02
2.36290E+01                                                        1.5158033596103200E-02
2.36890E+01                                                        1.5478597170891900E-02
2.37500E+01                                                        1.5809982453972500E-02
2.38110E+01                                                        1.6147456972614900E-02
2.38720E+01                                                        1.6491113247559300E-02
2.39330E+01                                                        1.6841044893516800E-02
2.39940E+01                                                        1.7197346628172500E-02
2.40560E+01                                                        1.7565558330522800E-02
2.41170E+01                                                        1.7934982384687200E-02
2.41790E+01                                                        1.8316702608621800E-02
2.42410E+01                                                        1.8705378085701700E-02
2.43030E+01                                                        1.9101113146729300E-02
2.43650E+01                                                        1.9504013330131700E-02
2.44280E+01                                                        1.9920219844933100E-02
2.44900E+01                                                        2.0337874911433600E-02
2.45530E+01                                                        2.0769264277132600E-02
2.46160E+01                                                        2.1208468230072600E-02
2.46790E+01                                                        2.1655602820828200E-02
2.47420E+01                                                        2.2110785419049500E-02
2.48050E+01                                                        2.2574134723473800E-02
2.48690E+01                                                        2.3052569583566700E-02
2.49330E+01                                                        2.3539644724849700E-02
2.49960E+01                                                        2.4028453180307300E-02
2.50610E+01                                                        2.4540226942072200E-02
2.51250E+01                                                        2.5053993141745000E-02
2.51890E+01                                                        2.5576917891060000E-02
2.52540E+01                                                        2.6116661140894100E-02
2.53180E+01                                                        2.6658430751647000E-02
2.53830E+01                                                        2.7217548479208600E-02
2.54480E+01                                                        2.7786630324752000E-02
2.55130E+01                                                        2.8365820616305200E-02
2.55790E+01                                                        2.8963453039032200E-02
2.56440E+01                                                        2.9563437017855900E-02
2.57100E+01                                                        3.0182440470491300E-02
2.57760E+01                                                        3.0812431850738600E-02
2.58420E+01                                                        3.1453569080490000E-02
2.59080E+01                                                        3.2106011778394400E-02
2.59740E+01                                                        3.2769921271375500E-02
2.60410E+01                                                        3.3454665473790100E-02
2.61070E+01                                                        3.4142152440534800E-02
2.61740E+01                                                        3.4851117764658900E-02
2.62410E+01                                                        3.5572530939960000E-02
2.63090E+01                                                        3.6316406736802000E-02
2.63760E+01                                                        3.7063409684308200E-02
2.64440E+01                                                        3.7833567176817200E-02
2.65110E+01                                                        3.8606888086538300E-02
2.65790E+01                                                        3.9404071701169600E-02
2.66470E+01                                                        4.0215139806644300E-02
2.67150E+01                                                        4.1040286594357800E-02
2.67840E+01                                                        4.1890753166988200E-02
2.68530E+01                                                        4.2756058929156400E-02
2.69210E+01                                                        4.3624995071595000E-02
2.69900E+01                                                        4.4520413999412700E-02
2.70590E+01                                                        4.5431297922928100E-02
2.71290E+01                                                        4.6369851487063700E-02
2.71980E+01                                                        4.7312505105467100E-02
2.72680E+01                                                        4.8283663162047700E-02
2.73380E+01                                                        4.9271562519486200E-02
2.74080E+01                                                        5.0276433306635300E-02
2.74780E+01                                                        5.1298507955009300E-02
2.75480E+01                                                        5.2338021212665100E-02
2.76190E+01                                                        5.3408651639902300E-02
2.76900E+01                                                        5.4497635985070700E-02
2.77600E+01                                                        5.5591338096952400E-02
